Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Vernon Maxwell,SG,32,CHH,31,467,.428,17.2,.522,.233,.061,.072,.156,.478,.489,.738,.182,.308,.321,.360,.652,.871,.000,0,.128,.455,0,0
Lee Mayberry,PG,27,VAN,79,1835,.375,17.7,.484,.169,.160,.052,.103,.516,.402,.492,.357,.278,.389,.350,.250,.778,.006,0,.067,.250,2,0
Bob McCann,SF,33,TOR,1,5,.000,16.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0
Walter McCarty,SF,23,BOS,82,2340,.404,13.7,.760,.218,.140,.197,.205,.240,.434,.579,.461,.292,.400,.309,.610,.963,.071,50,.211,.297,4,0
George McCloud,SF,30,PHO,63,1213,.405,18.2,.513,.159,.052,.087,.215,.487,.466,.603,.409,.351,.424,.341,.706,.944,.012,4,.279,.362,0,0
Xavier McDaniel,SF,34,NJN,20,180,.333,10.7,1.000,.233,.133,.467,.167,.000,.333,.714,.250,.214,.200,,.700,,.000,0,,,0,0
Michael McDonald,C,28,CHH,1,4,,,,,,,,,,,,,,,,,,0,,,0,0
Antonio McDyess,PF,23,PHO,81,2441,.536,8.7,.998,.448,.179,.217,.154,.002,.537,.735,.301,.378,.462,.000,.785,,.241,202,.000,,1,0
Tracy McGrady*,SF,18,TOR,64,1179,.450,10.9,.897,.379,.188,.168,.161,.103,.462,.616,.400,.313,.328,.341,.558,.643,.146,55,.244,.500,0,0
Jim McIlvaine,C,25,SEA,78,1211,.453,8.9,.987,.399,.233,.224,.130,.013,.459,.640,.308,.400,.276,.000,.683,,.103,21,.000,,0,0
Derrick McKey,SF,31,IND,57,1316,.459,10.7,.948,.211,.300,.202,.235,.052,.471,.681,.439,.288,.481,.235,.664,1.000,.021,7,.176,.000,0,0
Aaron McKie,SG-SF,25,TOT,81,1813,.365,14.9,.835,.218,.097,.168,.352,.165,.399,.530,.324,.281,.396,.190,.717,.917,.021,8,.222,.357,1,0
Aaron McKie,SF,25,DET,24,472,.413,14.0,.837,.279,.125,.135,.298,.163,.460,.552,.462,.214,.484,.176,.775,1.000,.019,2,.235,.250,1,0
Aaron McKie,SG,25,PHI,57,1341,.347,15.2,.834,.195,.087,.181,.372,.166,.377,.519,.250,.300,.369,.196,.690,.889,.022,6,.217,.400,0,0
Nate McMillan,SG,33,SEA,18,279,.343,19.3,.493,.164,.060,.015,.254,.507,.242,.364,.250,.000,.176,.441,.625,.867,.000,0,.059,1.000,0,0
Ron Mercer,SG,21,BOS,80,2662,.450,12.7,.976,.227,.136,.157,.455,.024,.458,.596,.340,.339,.466,.107,.695,.333,.052,59,.107,.000,1,0
Marko Milič,SF,20,PHO,33,163,.609,8.1,.906,.563,.156,.141,.047,.094,.621,.778,.500,.222,.333,.500,.583,1.000,.125,7,.167,.000,0,0
Anthony Miller,PF,26,ATL,37,228,.558,6.2,1.000,.692,.269,.000,.038,.000,.558,.611,.429,,.500,,.448,,.173,9,,,0,0
Oliver Miller,C,27,TOR,64,1628,.461,8.9,.989,.453,.271,.100,.165,.011,.466,.653,.270,.270,.393,.000,.688,,.051,18,.000,,1,0
Reggie Miller*,SG,32,IND,81,2795,.477,17.9,.647,.133,.047,.120,.346,.353,.504,.757,.490,.362,.457,.429,.648,.866,.004,4,.236,.411,5,0
Chris Mills,SF,28,NYK,80,2183,.433,13.2,.797,.310,.164,.101,.222,.203,.468,.593,.351,.382,.420,.292,.647,.950,.012,8,.212,.517,1,0
